epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,2902.6,0.35124,1.64674,0.05686,0.21026,1.01296,0.99962,0.98824,0.99328,0.89488,0.99367,0.98235,0.98904,0.51303,0.51079,2.22537,0.03822,0.27435,1.05209,0.000379627,0.000379627,0.000379627
100,2922.41,0.3327,1.64073,0.05603,0.20932,0.98513,1,0.9882,0.99466,0.92306,0.99405,0.98231,0.98962,0.51398,0.44803,2.27286,0.03856,0.27139,1.00714,0.000377383,0.000377383,0.000377383
101,2943.42,0.34292,1.62669,0.05629,0.21443,1.00545,1,0.99375,0.995,0.90713,0.99959,0.98824,0.99236,0.51537,0.47132,2.24509,0.03746,0.25823,1.02567,0.000375125,0.000375125,0.000375125
102,2964.84,0.33587,1.62413,0.05656,0.21015,1.00318,0.99959,0.98824,0.99466,0.92419,0.99959,0.98824,0.99214,0.52102,0.42585,2.25504,0.03941,0.26304,1.00342,0.000372853,0.000372853,0.000372853
103,2984.67,0.3287,1.64385,0.05577,0.20792,0.99659,0.99961,0.98824,0.99439,0.91809,0.99961,0.98824,0.99289,0.52623,0.45446,2.21,0.03787,0.27826,1.01895,0.000370568,0.000370568,0.000370568
104,3004.14,0.31863,1.62651,0.05461,0.20535,0.98503,1,0.98762,0.99471,0.91494,0.99995,0.98235,0.99029,0.53918,0.47342,2.20654,0.03761,0.27653,1.01659,0.00036827,0.00036827,0.00036827
105,3023.63,0.31784,1.58872,0.05327,0.20048,0.9814,1,0.98689,0.99325,0.92887,1,0.98209,0.99047,0.54484,0.42641,2.17489,0.03859,0.27729,0.98071,0.000365958,0.000365958,0.000365958
106,3043.45,0.33499,1.58978,0.04944,0.20616,0.99447,0.99823,1,0.995,0.93128,0.99823,1,0.995,0.54096,0.40173,2.13839,0.03872,0.25253,0.95055,0.000363634,0.000363634,0.000363634
107,3062.89,0.31962,1.57638,0.05014,0.20097,0.99332,0.99966,1,0.995,0.92609,0.99377,0.99412,0.99488,0.55352,0.42857,2.08248,0.03971,0.24231,0.97259,0.000361298,0.000361298,0.000361298
108,3082.35,0.31909,1.58147,0.05149,0.20395,0.98257,1,0.99929,0.995,0.9395,0.99974,0.99412,0.995,0.54529,0.40018,2.10924,0.03709,0.2482,0.96009,0.000358949,0.000358949,0.000358949
109,3101.96,0.33361,1.5575,0.05143,0.20682,0.99948,0.99955,0.99412,0.995,0.90442,0.99364,0.98824,0.99283,0.52659,0.49752,2.17756,0.03824,0.26081,1.03347,0.000356588,0.000356588,0.000356588
