frame,kp0_conf,kp1_conf,kp2_conf,kp3_conf,kp4_conf,kp5_conf,kp6_conf,kp7_conf,kp8_conf,kp9_conf,kp10_conf,kp11_conf,kp12_conf,kp13_conf,kp14_conf,kp15_conf,kp16_conf,bbox_conf
124,1.0000,0.9878,0.9980,0.9995,1.0000,1.0000,0.9990,0.9897,1.0000,0.9990,0.9897,0.9951,1.0000,1.0000,0.0000,0.0000,0.0000,0.9746
125,1.0000,0.9878,0.9980,0.9995,1.0000,1.0000,0.9990,0.9888,1.0000,0.9990,0.9883,0.9937,1.0000,0.9995,0.0000,0.0000,0.0000,0.9746
126,1.0000,0.9883,0.9980,0.9995,1.0000,1.0000,0.9990,0.9893,1.0000,0.9990,0.9883,0.9937,1.0000,0.9995,0.0000,0.0000,0.0000,0.9746
127,1.0000,0.9883,0.9980,0.9995,1.0000,1.0000,0.9990,0.9883,1.0000,0.9990,0.9868,0.9932,1.0000,0.9995,0.0000,0.0000,0.0000,0.9751
128,1.0000,0.9883,0.9980,0.9995,1.0000,1.0000,0.9990,0.9873,1.0000,0.9985,0.9839,0.9912,1.0000,0.9995,0.0000,0.0000,0.0000,0.9751
129,1.0000,0.9878,0.9980,0.9995,1.0000,1.0000,0.9985,0.9873,1.0000,0.9985,0.9844,0.9917,1.0000,0.9995,0.0000,0.0000,0.0000,0.9751
130,1.0000,0.9878,0.9980,0.9995,1.0000,1.0000,0.9990,0.9878,1.0000,0.9990,0.9863,0.9927,1.0000,0.9995,0.0000,0.0000,0.0000,0.9746
131,1.0000,0.9883,0.9980,0.9995,1.0000,1.0000,0.9990,0.9883,1.0000,0.9990,0.9873,0.9932,1.0000,0.9995,0.0000,0.0000,0.0000,0.9746
132,1.0000,0.9883,0.9980,0.9995,1.0000,1.0000,0.9985,0.9878,1.0000,0.9985,0.9858,0.9927,1.0000,0.9995,0.0000,0.0000,0.0000,0.9746
133,1.0000,0.9878,0.9980,0.9995,1.0000,1.0000,0.9985,0.9873,1.0000,0.9985,0.9849,0.9922,1.0000,0.9995,0.0000,0.0000,0.0000,0.9746
134,1.0000,0.9883,0.9980,0.9995,1.0000,1.0000,0.9985,0.9878,1.0000,0.9985,0.9858,0.9927,1.0000,0.9995,0.0000,0.0000,0.0000,0.9746
135,1.0000,0.9883,0.9980,0.9995,1.0000,1.0000,0.9990,0.9883,1.0000,0.9990,0.9883,0.9937,1.0000,0.9995,0.0000,0.0000,0.0000,0.9746
136,1.0000,0.9883,0.9980,0.9995,1.0000,1.0000,0.9990,0.9883,1.0000,0.9990,0.9888,0.9941,1.0000,1.0000,0.0000,0.0000,0.0000,0.9746
137,1.0000,0.9883,0.9980,0.9995,1.0000,1.0000,0.9990,0.9883,1.0000,0.9990,0.9868,0.9927,1.0000,0.9995,0.0000,0.0000,0.0000,0.9746
138,1.0000,0.9883,0.9980,0.9995,1.0000,1.0000,0.9990,0.9883,1.0000,0.9990,0.9883,0.9937,1.0000,0.9995,0.0000,0.0000,0.0000,0.9746
139,1.0000,0.9883,0.9980,0.9995,1.0000,1.0000,0.9990,0.9893,1.0000,0.9990,0.9902,0.9951,1.0000,1.0000,0.0000,0.0000,0.0000,0.9746
140,1.0000,0.9883,0.9980,0.9995,1.0000,1.0000,0.9990,0.9893,1.0000,0.9990,0.9907,0.9951,1.0000,1.0000,0.0000,0.0000,0.0000,0.9751
