date,time,behavior_id,behavior_name,duration_sec,activity
2026-05-05,19:55:54,1,舔舐,2.0,8
2026-05-05,19:55:56,1,舔舐,2.1,8
2026-05-05,19:55:58,1,舔舐,2.2,8
2026-05-05,19:56:00,1,舔舐,2.1,10
2026-05-05,19:56:02,1,舔舐,2.1,8
2026-05-05,19:56:04,1,舔舐,2.2,9
2026-05-05,19:56:06,1,舔舐,2.0,8
2026-05-05,19:56:08,1,舔舐,2.1,14
2026-05-05,19:56:11,1,舔舐,2.2,10
2026-05-05,19:56:13,1,舔舐,2.0,13
2026-05-05,19:56:15,1,舔舐,2.1,20
2026-05-05,19:56:17,1,舔舐,2.3,20
2026-05-05,19:56:19,1,舔舐,2.1,29
2026-05-05,19:56:21,1,舔舐,2.1,18
2026-05-05,19:56:23,1,舔舐,2.0,7
2026-05-05,19:56:25,1,舔舐,2.1,7
2026-05-05,19:56:27,1,舔舐,2.1,8
2026-05-05,19:56:30,1,舔舐,2.1,18
2026-05-05,19:56:32,1,舔舐,2.0,15
2026-05-05,19:56:34,1,舔舐,2.1,6
2026-05-05,19:56:36,1,舔舐,2.1,4
2026-05-05,19:56:38,1,舔舐,2.0,8
2026-05-05,19:56:40,1,舔舐,2.1,21
2026-05-05,19:56:42,1,舔舐,2.1,18
2026-05-05,19:56:44,1,舔舐,2.0,17
2026-05-05,19:56:46,1,舔舐,2.1,17
2026-05-05,19:56:48,1,舔舐,2.2,18
2026-05-05,19:56:50,1,舔舐,2.1,8
2026-05-05,19:56:52,1,舔舐,2.1,12
2026-05-05,19:56:54,1,舔舐,2.1,17
2026-05-05,19:56:57,1,舔舐,2.1,14
2026-05-05,19:56:59,1,舔舐,2.1,17
2026-05-05,19:57:01,1,舔舐,2.1,10
2026-05-05,19:57:03,1,舔舐,2.3,4
2026-05-05,19:57:05,1,舔舐,2.1,8
2026-05-05,19:57:07,1,舔舐,2.1,15
2026-05-05,19:57:09,1,舔舐,2.1,17
2026-05-05,19:57:11,1,舔舐,2.1,22
2026-05-05,19:57:13,1,舔舐,2.1,15
2026-05-05,19:57:16,1,舔舐,2.1,9
2026-05-05,19:57:18,1,舔舐,2.1,15
2026-05-05,19:57:20,1,舔舐,2.1,15
2026-05-05,19:57:22,1,舔舐,2.1,20
2026-05-05,19:57:24,1,舔舐,2.1,25
2026-05-05,19:57:26,1,舔舐,2.1,28
2026-05-05,19:57:28,1,舔舐,2.1,17
2026-05-05,19:57:30,1,舔舐,2.1,15
2026-05-05,19:57:32,1,舔舐,2.1,9
2026-05-05,19:57:34,1,舔舐,2.0,25
2026-05-05,19:57:36,1,舔舐,2.0,23
2026-05-05,19:57:38,1,舔舐,2.1,27
2026-05-05,19:57:40,1,舔舐,2.1,19
2026-05-05,19:57:43,1,舔舐,2.1,13
2026-05-05,19:57:45,1,舔舐,2.1,7
2026-05-05,19:57:47,1,舔舐,2.1,10
2026-05-05,19:57:49,1,舔舐,2.1,21
2026-05-05,19:57:51,1,舔舐,2.1,24
2026-05-05,19:57:53,1,舔舐,2.1,19
2026-05-05,19:57:55,1,舔舐,2.1,13
2026-05-05,19:57:57,1,舔舐,2.0,14
2026-05-05,19:57:59,1,舔舐,2.1,19
2026-05-05,19:58:01,1,舔舐,2.1,23
2026-05-05,19:58:03,1,舔舐,2.1,19
2026-05-05,19:58:06,1,舔舐,2.1,27
2026-05-05,19:58:08,1,舔舐,2.1,25
2026-05-05,19:58:10,1,舔舐,2.1,27
2026-05-05,19:58:12,1,舔舐,2.1,14
2026-05-05,19:58:14,1,舔舐,2.1,16
2026-05-05,19:58:16,1,舔舐,2.1,28
2026-05-05,19:58:18,1,舔舐,2.1,29
2026-05-05,19:58:20,1,舔舐,2.1,22
